0
49
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     -0.233     0.995    -1.156     0.689
 (0 - 2)      1.046     0.014     0.123     1.968
 (0 - 3)      0.378     0.920    -0.545     1.300
 (0 - 4)      1.412     0.000     0.489     2.334
 (0 - 5)      1.362     0.000     0.439     2.285
 (0 - 6)      1.420     0.000     0.498     2.343
 (0 - 7)      1.400     0.000     0.477     2.322
 (1 - 0)      0.233     0.995    -0.689     1.156
 (1 - 2)      1.279     0.001     0.356     2.202
 (1 - 3)      0.611     0.476    -0.312     1.534
 (1 - 4)      1.645     0.000     0.722     2.567
 (1 - 5)      1.595     0.000     0.673     2.518
 (1 - 6)      1.654     0.000     0.731     2.576
 (1 - 7)      1.633     0.000     0.710     2.555
 (2 - 0)     -1.046     0.014    -1.968    -0.123
 (2 - 1)     -1.279     0.001    -2.202    -0.356
 (2 - 3)     -0.668     0.355    -1.591     0.255
 (2 - 4)      0.366     0.932    -0.557     1.288
 (2 - 5)      0.316     0.968    -0.606     1.239
 (2 - 6)      0.375     0.923    -0.548     1.297
 (2 - 7)      0.354     0.942    -0.569     1.277
 (3 - 0)     -0.378     0.920    -1.300     0.545
 (3 - 1)     -0.611     0.476    -1.534     0.312
 (3 - 2)      0.668     0.355    -0.255     1.591
 (3 - 4)      1.034     0.016     0.111     1.956
 (3 - 5)      0.984     0.027     0.062     1.907
 (3 - 6)      1.043     0.014     0.120     1.965
 (3 - 7)      1.022     0.018     0.099     1.944
 (4 - 0)     -1.412     0.000    -2.334    -0.489
 (4 - 1)     -1.645     0.000    -2.567    -0.722
 (4 - 2)     -0.366     0.932    -1.288     0.557
 (4 - 3)     -1.034     0.016    -1.956    -0.111
 (4 - 5)     -0.050     1.000    -0.972     0.873
 (4 - 6)      0.009     1.000    -0.914     0.931
 (4 - 7)     -0.012     1.000    -0.934     0.911
 (5 - 0)     -1.362     0.000    -2.285    -0.439
 (5 - 1)     -1.595     0.000    -2.518    -0.673
 (5 - 2)     -0.316     0.968    -1.239     0.606
 (5 - 3)     -0.984     0.027    -1.907    -0.062
 (5 - 4)      0.050     1.000    -0.873     0.972
 (5 - 6)      0.058     1.000    -0.864     0.981
 (5 - 7)      0.038     1.000    -0.885     0.960
 (6 - 0)     -1.420     0.000    -2.343    -0.498
 (6 - 1)     -1.654     0.000    -2.576    -0.731
 (6 - 2)     -0.375     0.923    -1.297     0.548
 (6 - 3)     -1.043     0.014    -1.965    -0.120
 (6 - 4)     -0.009     1.000    -0.931     0.914
 (6 - 5)     -0.058     1.000    -0.981     0.864
 (6 - 7)     -0.021     1.000    -0.943     0.902
 (7 - 0)     -1.400     0.000    -2.322    -0.477
 (7 - 1)     -1.633     0.000    -2.555    -0.710
 (7 - 2)     -0.354     0.942    -1.277     0.569
 (7 - 3)     -1.022     0.018    -1.944    -0.099
 (7 - 4)      0.012     1.000    -0.911     0.934
 (7 - 5)     -0.038     1.000    -0.960     0.885
 (7 - 6)      0.021     1.000    -0.902     0.943

0
149
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      6.749     0.000     5.697     7.801
 (0 - 2)      6.434     0.000     5.382     7.486
 (0 - 3)      2.504     0.000     1.452     3.557
 (0 - 4)      8.336     0.000     7.284     9.388
 (0 - 5)      7.867     0.000     6.815     8.919
 (0 - 6)      8.572     0.000     7.520     9.624
 (0 - 7)      8.462     0.000     7.410     9.514
 (1 - 0)     -6.749     0.000    -7.801    -5.697
 (1 - 2)     -0.315     0.985    -1.367     0.737
 (1 - 3)     -4.245     0.000    -5.297    -3.193
 (1 - 4)      1.587     0.000     0.535     2.639
 (1 - 5)      1.118     0.028     0.066     2.170
 (1 - 6)      1.823     0.000     0.771     2.875
 (1 - 7)      1.713     0.000     0.661     2.765
 (2 - 0)     -6.434     0.000    -7.486    -5.382
 (2 - 1)      0.315     0.985    -0.737     1.367
 (2 - 3)     -3.930     0.000    -4.982    -2.878
 (2 - 4)      1.902     0.000     0.850     2.954
 (2 - 5)      1.433     0.001     0.381     2.485
 (2 - 6)      2.138     0.000     1.086     3.190
 (2 - 7)      2.028     0.000     0.976     3.080
 (3 - 0)     -2.504     0.000    -3.557    -1.452
 (3 - 1)      4.245     0.000     3.193     5.297
 (3 - 2)      3.930     0.000     2.878     4.982
 (3 - 4)      5.832     0.000     4.780     6.884
 (3 - 5)      5.363     0.000     4.311     6.415
 (3 - 6)      6.068     0.000     5.016     7.120
 (3 - 7)      5.958     0.000     4.906     7.010
 (4 - 0)     -8.336     0.000    -9.388    -7.284
 (4 - 1)     -1.587     0.000    -2.639    -0.535
 (4 - 2)     -1.902     0.000    -2.954    -0.850
 (4 - 3)     -5.832     0.000    -6.884    -4.780
 (4 - 5)     -0.469     0.879    -1.521     0.583
