task1
29
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     -1.966     1.000   -16.328    12.396
 (0 - 2)      6.089     0.847    -8.273    20.451
 (0 - 3)      1.830     1.000   -12.532    16.193
 (0 - 4)      7.277     0.700    -7.085    21.639
 (0 - 5)      7.416     0.681    -6.946    21.778
 (0 - 6)      7.388     0.685    -6.974    21.750
 (0 - 7)      7.775     0.630    -6.587    22.137
 (1 - 0)      1.966     1.000   -12.396    16.328
 (1 - 2)      8.055     0.590    -6.307    22.417
 (1 - 3)      3.797     0.986   -10.565    18.159
 (1 - 4)      9.243     0.424    -5.119    23.606
 (1 - 5)      9.382     0.406    -4.980    23.744
 (1 - 6)      9.354     0.410    -5.008    23.716
 (1 - 7)      9.741     0.361    -4.621    24.103
 (2 - 0)     -6.089     0.847   -20.451     8.273
 (2 - 1)     -8.055     0.590   -22.417     6.307
 (2 - 3)     -4.258     0.973   -18.620    10.104
 (2 - 4)      1.189     1.000   -13.173    15.551
 (2 - 5)      1.327     1.000   -13.035    15.689
 (2 - 6)      1.299     1.000   -13.063    15.662
 (2 - 7)      1.687     1.000   -12.676    16.049
 (3 - 0)     -1.830     1.000   -16.193    12.532
 (3 - 1)     -3.797     0.986   -18.159    10.565
 (3 - 2)      4.258     0.973   -10.104    18.620
 (3 - 4)      5.447     0.906    -8.915    19.809
 (3 - 5)      5.585     0.895    -8.777    19.947
 (3 - 6)      5.558     0.897    -8.804    19.920
 (3 - 7)      5.945     0.861    -8.417    20.307
 (4 - 0)     -7.277     0.700   -21.639     7.085
 (4 - 1)     -9.243     0.424   -23.606     5.119
 (4 - 2)     -1.189     1.000   -15.551    13.173
 (4 - 3)     -5.447     0.906   -19.809     8.915
 (4 - 5)      0.138     1.000   -14.224    14.501
 (4 - 6)      0.111     1.000   -14.251    14.473
 (4 - 7)      0.498     1.000   -13.864    14.860
 (5 - 0)     -7.416     0.681   -21.778     6.946
 (5 - 1)     -9.382     0.406   -23.744     4.980
 (5 - 2)     -1.327     1.000   -15.689    13.035
 (5 - 3)     -5.585     0.895   -19.947     8.777
 (5 - 4)     -0.138     1.000   -14.501    14.224
 (5 - 6)     -0.028     1.000   -14.390    14.334
 (5 - 7)      0.359     1.000   -14.003    14.721
 (6 - 0)     -7.388     0.685   -21.750     6.974
 (6 - 1)     -9.354     0.410   -23.716     5.008
 (6 - 2)     -1.299     1.000   -15.662    13.063
 (6 - 3)     -5.558     0.897   -19.920     8.804
 (6 - 4)     -0.111     1.000   -14.473    14.251
 (6 - 5)      0.028     1.000   -14.334    14.390
 (6 - 7)      0.387     1.000   -13.975    14.749
 (7 - 0)     -7.775     0.630   -22.137     6.587
 (7 - 1)     -9.741     0.361   -24.103     4.621
 (7 - 2)     -1.687     1.000   -16.049    12.676
 (7 - 3)     -5.945     0.861   -20.307     8.417
 (7 - 4)     -0.498     1.000   -14.860    13.864
 (7 - 5)     -0.359     1.000   -14.721    14.003
 (7 - 6)     -0.387     1.000   -14.749    13.975

task1
59
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     12.284     0.050     0.014    24.554
 (0 - 2)     14.379     0.014     2.108    26.649
 (0 - 3)      4.798     0.892    -7.472    17.068
 (0 - 4)     15.280     0.008     3.009    27.550
 (0 - 5)     15.375     0.007     3.105    27.645
 (0 - 6)     16.856     0.003     4.585    29.126
 (0 - 7)     17.188     0.002     4.918    29.458
 (1 - 0)    -12.284     0.050   -24.554    -0.014
 (1 - 2)      2.094     0.999   -10.176    14.364
 (1 - 3)     -7.486     0.490   -19.756     4.784
 (1 - 4)      2.995     0.991    -9.275    15.265
